order,set_key,file_path,thumbnail,width,height
0,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_002.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_002.jpg,900,1487
1,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_003.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_003.jpg,900,1487
2,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_004.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_004.jpg,900,1487
3,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_005.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_005.jpg,900,1487
4,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_006.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_006.jpg,900,1487
5,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_007.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_007.jpg,900,1487
6,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_008.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_008.jpg,900,1487
7,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_009.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_009.jpg,900,1487
8,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_010.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_010.jpg,900,1487
9,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_011.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_011.jpg,900,1487
10,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_012.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_012.jpg,900,1487
11,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_013.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_013.jpg,900,1496
12,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_014.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_014.jpg,900,1487
13,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_015.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_015.jpg,900,1487
14,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_016.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_016.jpg,900,1487
15,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_017.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_017.jpg,900,1487
16,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_018.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_018.jpg,900,1487
17,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_019.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_019.jpg,900,1487
18,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_020.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_020.jpg,900,1487
19,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_021.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_021.jpg,900,1487
20,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_022.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_022.jpg,900,1487
21,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_023.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_023.jpg,900,1487
22,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_024.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_024.jpg,900,1487
23,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_025.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_025.jpg,900,1487
24,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_026.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_026.jpg,900,1487
25,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_027.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_027.jpg,900,1487
26,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_028.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_028.jpg,900,1487
27,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_029.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_029.jpg,900,1487
28,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_030.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_030.jpg,900,1490
29,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_031.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_031.jpg,900,1487
30,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_032.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_032.jpg,900,1487
31,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_033.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_033.jpg,900,1487
32,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_034.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_034.jpg,900,1487
33,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_035.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_035.jpg,900,1487
34,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_036.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_036.jpg,900,1487
35,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_037.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_037.jpg,900,1487
36,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_038.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_038.jpg,900,1487
37,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_039.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_039.jpg,900,1487
38,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_040.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_040.jpg,900,1490
39,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_041.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_041.jpg,900,1487
40,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_042.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_042.jpg,900,1487
41,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_043.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_043.jpg,900,1487
42,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_044.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_044.jpg,900,1487
43,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_045.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_045.jpg,900,1493
44,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_046.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_046.jpg,900,1487
45,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_047.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_047.jpg,900,1487
46,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_048.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_048.jpg,900,1487
47,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_049.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_049.jpg,900,1488
48,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_050.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_050.jpg,900,1487
49,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_051.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_051.jpg,900,1487
50,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_052.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_052.jpg,900,1487
51,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_053.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_053.jpg,900,1487
52,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_054.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_054.jpg,900,1487
53,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_055.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_055.jpg,900,1487
54,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_056.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_056.jpg,900,1487
55,Pittsburgh,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/Pittsburgh_AD_057.jpg,http://ec2-54-162-126-13.compute-1.amazonaws.com:3000/dcic_docs/Pittsburgh_Box94/thumb/Pittsburgh_AD_057.jpg,900,1487
